                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.9206,                 4.3727,                 2.0593,                 0.0043,                0.01468,                 0.0022,                0.00066,                 3.8155,                 5.0119,                 1.8093,                 0.0991,                 0.0001,                 0.0001
                      1,                 3.6836,                 4.2963,                 1.9748,                0.00611,                0.02096,                0.00313,                0.00106,                 3.7968,                  5.011,                 1.7832,               0.097288,             0.00028812,             0.00028812
                      2,                 3.6149,                 4.2021,                 1.9477,                0.00672,                0.02306,                0.00347,                0.00116,                  3.746,                  4.963,                  1.746,                0.09546,              0.0004604,              0.0004604
                      3,                 3.5985,                  4.258,                 2.0625,                0.00845,                0.02935,                0.00446,                0.00141,                 3.5906,                 4.6805,                 1.6653,               0.093617,             0.00061684,             0.00061684
                      4,                 3.7435,                   4.06,                 1.9338,                0.00882,                0.02935,                0.00478,                0.00153,                 3.5057,                 4.5199,                 1.6785,               0.091757,             0.00075744,             0.00075744
                      5,                  3.481,                 3.7014,                 1.8517,                0.02758,                0.09853,                0.01534,                0.00527,                 3.2763,                 4.0928,                  1.556,               0.089882,              0.0008822,              0.0008822
                      6,                 3.3701,                 3.3548,                 1.8053,                0.03254,                0.13417,                0.02228,                0.00753,                  3.201,                 3.8056,                 1.5047,               0.087991,             0.00099112,             0.00099112
                      7,                 3.4241,                 2.9301,                 1.8028,                0.07811,                0.12998,                0.04396,                 0.0152,                 3.1052,                 3.3119,                 1.4255,               0.086084,              0.0010842,              0.0010842
                      8,                 3.4352,                 2.6481,                 1.8126,                0.21747,                0.08176,                0.05179,                 0.0167,                 3.0992,                      3,                 1.4104,               0.084161,              0.0011614,              0.0011614
                      9,                 3.3735,                 2.4626,                 1.8258,                0.20085,                 0.1174,                 0.0629,                0.02038,                 3.0357,                  2.683,                 1.3679,               0.082223,              0.0012228,              0.0012228
                     10,                 3.2438,                 2.3191,                 1.7435,                0.18544,                0.15177,                0.08092,                0.02667,                 3.0393,                 2.5487,                 1.3535,               0.080268,              0.0012684,              0.0012684
                     11,                 3.3426,                 2.2233,                 1.7539,                0.17498,                0.16771,                0.08418,                0.02773,                 2.9983,                 2.5493,                 1.3297,               0.078298,              0.0012981,              0.0012981
                     12,                 3.2507,                 1.9819,                 1.6047,                0.25095,                0.15723,                0.09245,                0.02858,                 2.8657,                 2.3695,                 1.2999,               0.076312,               0.001312,               0.001312
                     13,                 3.0559,                 2.0429,                 1.6123,                0.26624,                0.13836,                0.08188,                0.02769,                 2.9148,                  2.345,                  1.312,                0.07431,                0.00131,                0.00131
                     14,                 3.1715,                 1.9792,                 1.6511,                0.25069,                0.14256,                0.08646,                0.02927,                 2.9752,                 2.1533,                 1.3778,               0.072292,              0.0012922,              0.0012922
                     15,                 2.8559,                 1.9374,                 1.4755,                0.26008,                0.14885,                0.08954,                0.03058,                 2.9087,                 1.9987,                 1.3627,               0.070259,              0.0012586,              0.0012586
                     16,                 2.8026,                 1.9407,                 1.5159,                0.25153,                0.15094,                0.09321,                0.03139,                 2.8485,                 1.9445,                  1.344,               0.068209,              0.0012091,              0.0012091
                     17,                 2.9056,                 1.9033,                 1.4405,                0.26682,                0.14675,                0.09665,                0.03265,                 2.8008,                 1.9046,                 1.2908,               0.066144,              0.0011438,              0.0011438
                     18,                 2.8619,                 1.8609,                 1.4849,                0.26038,                0.15723,                0.10091,                0.03351,                 2.7964,                 1.8611,                 1.2937,               0.064063,              0.0010626,              0.0010626
                     19,                 2.9334,                 1.8678,                 1.4426,                0.30063,                0.16771,                0.11064,                0.03511,                 2.8274,                 1.7558,                 1.2947,               0.061966,             0.00096564,             0.00096564
                     20,                 2.7931,                 1.8727,                 1.5266,                0.24619,                0.15723,                0.10868,                0.03543,                 2.8296,                 1.7396,                 1.3044,               0.059853,              0.0008528,              0.0008528
                     21,                  2.843,                 1.7764,                 1.4971,                0.30913,                0.16771,                0.12268,                0.04019,                 2.8075,                 1.6686,                 1.2952,               0.057724,             0.00072412,             0.00072412
                     22,                  2.845,                 1.7737,                 1.5106,                0.33673,                 0.1761,                0.12912,                0.04141,                 2.7639,                  1.671,                 1.2888,                0.05558,              0.0005796,              0.0005796
                     23,                 2.8965,                 1.8057,                 1.4742,                0.34298,                0.20027,                0.13964,                0.04451,                 2.7394,                 1.6253,                 1.2722,               0.053419,             0.00041924,             0.00041924
                     24,                 2.9688,                 1.9383,                 1.4601,                0.33925,                0.19497,                0.14146,                0.04482,                 2.7567,                 1.6028,                 1.2787,               0.051243,             0.00024304,             0.00024304
